111111111;test;test;test;test
190019318;Mažylis;A. Vivulskio g. 8A;Naujamiesčio;s
190027375;Medynėlis;Algimanto Petro Kavoliuko g. 5;Karoliniškių;s
190018554;Molinukas;Keramikų g. 34;Antakalnio;s
190016012;Naminukas;Smėlio g. 13;Antakalnio;s
290015630;Nykštukas;Taikos g. 190;Justiniškių;s
190023882;Obelėlė;Architektų g. 204;Lazdynų;s
190031982;Ozas;Gelvonų g. 24;Šeškinės;s
190021874;Pabiručiai;Brolių g. 18;Naujininkų;s
190013817;Pagrandukas;Mindaugo g. 15A;Naujamiesčio;s
190023697;Pakalnutė;Architektų g. 44;Lazdynų;s
190016546;Panerių;Juodšilių g. 10;Panerių;s
190030880;Papartis;Čiobiškio g. 17;Šeškinės;s
190021917;Pasaka;Žirmūnų g. 110;Žirmūnų;s
190022780;Pasakaitė;Taikos g. 30;Justiniškių;s
190020249;Paslaptis;Darželio g. 7;Naujosios Vilnios;s
190030542;Pelėda;Musninkų g. 10;Šeškinės;s
190648396;Pelėdžiukas;Lentvario g. 1A;Grigiškių;s
190022257;Pelenė;Justiniškių g. 84;Justiniškių;s
301879757;Pilaitukas;I. Kanto al. 7A;Pilaitės;s
190021493;Pipiras;Krokuvos g. 6A;Šnipiškių;s
190028858;Prie pasakų parko;Loretos Asanavičiūtės g. 7;Visos seniūnijos;s
190011951;Pumpurėlis;Kalvarijų g. 186;Šnipiškių;s
190029611;Puriena;Tujų g. 1;Viršuliškių;s
190025890;Pušaitė;Bistryčios g. 3;Antakalnio;s
190016884;Pušynėlis;Miglos g. 53;Žvėryno;s
190028662;Raktelis;Algimanto Petro Kavoliuko g. 12;Karoliniškių;s
190021155;Ramunėlė;Žirmūnų g. 10;Žirmūnų;s
190013055;Rasa;M. Daukšos g. 15;Senamiesčio;s
190013621;Riešutėlis;Erfurto g. 21;Lazdynų;s
190648058;Rugelis;Kovo 11-osios g. 29A;Grigiškių;s
190020968;Rūta;Žirmūnų g. 50;Žirmūnų;s
190026316;Rytas;Architektų g. 162;Lazdynų;s
190017986;Sadutė;Z. Sierakausko g. 28;Naujamiesčio;s
190033314;Sakalėlis;S. Stanevičiaus g. 86;Fabijoniškių;s
190019460;Salvija;J. Jasinskio g. 17;Naujamiesčio;s
190027560;Saulėgrąža;Taikos g. 31;Justiniškių;s
190014157;Saulėtekis;Genių g. 12;Naujosios Vilnios;s
290029950;Šermukšnėlė;Didlaukio g. 66;Verkių;s
290026840;Šilelis;Sietyno g. 5;Karoliniškių;s
190014680;Skroblinukas;Skroblų g. 13;Vilkpėdės;s
190025552;Smalsučiai;Minties g. 40;Žirmūnų;s
190017267;Šnekutis;Vytenio g. 41;Naujamiesčio;s
190011613;Spragtukas;Žirmūnų g. 108;Žirmūnų;s
190022595;Spygliukas;Architektų g. 16;Lazdynų;s
190028477;Strazdelis;Igno Šimulionio g. 14;Karoliniškių;s
190030161;Sveikuolis;Dūkštų g. 14;Šeškinės;s
190019656;Švelnukas;Žalgirio g. 115;Šnipiškių;s
190011766;Šypsena;Povilo Višinskio g. 23;Senamiesčio;s
291326310;Trakų Vokės;Eduardo Andrė g. 6;Panerių;s
190022442;Užupiukas;Filaretų g. 19;Senamiesčio;s
190015978;Vaidilutė;Rinktinės g. 5B;Žirmūnų;s
190033990;Vandenis;P. Žadeikos g. 14A;Fabijoniškių;s
190030019;Varpelis;Ukmergės g. 204;Šeškinės;s
190032899;Vėjelis;Gabijos g. 21;Pašilaičių;s
190033848;Vėrinėlis;S. Stanevičiaus g. 68;Fabijoniškių;s
190028096;Vėtrungė;Gardino g. 8;Rasų;s
190020815;Vieversys;Žirmūnų g. 89;Žirmūnų;s
190023544;Vilnelė;Pergalės g. 20;Naujosios Vilnios;s
190014538;Viltenė;Gerosios Vilties g. 7A;Vilkpėdės;s
190012868;Voveraitė;Jūratės g. 4A;Antakalnio;s
190023359;Želmenėliai;Šaltkalvių g. 30;Naujininkų;s
290011190;Žemuogėlė;Architektų g. 108;Lazdynų;s
190032027;Žemyna;Žemynos g. 13;Pašilaičių;s
290028510;Žiburėlis;Laisvės pr. 46;Karoliniškių;s
290023730;Žibutė;Architektų g. 62;Lazdynų;s
190032212;Žiedas;Žemynos g. 41;Pašilaičių;s
190015825;Žilvinėlio;Taikos g. 130;Justiniškių;s
190022823;Žilvitis;Viršuliškių g. 9;Viršuliškių;s
190013774;Žiogelis;J. Kolaso g. 15;Naujosios Vilnios;s
290020620;Žirmūnėliai;Žirmūnų g. 13;Žirmūnų;s
190018892;Žirniukas;Verkių g. 17;Žirmūnų;s
304221230;Žolynas;Žolyno g. 45A;Antakalnio;s
190023163;Žolynėlis;Žolyno g. 44;Antakalnio;s
190017648;Žuvėdra;Parko g. 8A;Naujosios Vilnios;s
190017833;Žvangutis;Rinktinės g. 38A;Šnipiškių;s
190029198;Zylutė;Justiniškių g. 45;Viršuliškių;s
